Date,Short_Sector,Group,Value
1959-03-01,Manufacturing Total,Manufacturing,35.2
1959-04-01,Mining,Mining,530.3
1959-04-01,Manufacturing Total,Manufacturing,35.7
1959-05-01,Mining,Mining,533.2
1959-05-01,Manufacturing Total,Manufacturing,36.1
1959-06-01,Mining,Mining,534.7
1959-06-01,Manufacturing Total,Manufacturing,36.1
1959-07-01,Mining,Mining,533.5
1959-07-01,Manufacturing Total,Manufacturing,36.1
1959-08-01,Mining,Mining,529.2
1959-08-01,Manufacturing Total,Manufacturing,36.3
1959-09-01,Mining,Mining,522
1959-09-01,Manufacturing Total,Manufacturing,37
1959-10-01,Mining,Mining,514.8
1959-10-01,Manufacturing Total,Manufacturing,37.9
1959-11-01,Mining,Mining,511.6
1959-11-01,Manufacturing Total,Manufacturing,38.6
1959-12-01,Mining,Mining,514.2
1959-12-01,Manufacturing Total,Manufacturing,39.1
1960-01-01,Mining,Mining,519.1
1960-01-01,Manufacturing Total,Manufacturing,39.3
1960-02-01,Mining,Mining,520.8
1960-02-01,Manufacturing Total,Manufacturing,39.3
1960-03-01,Mining,Mining,515.9
1960-03-01,Manufacturing Total,Manufacturing,39.3
1960-04-01,Mining,Mining,507.1
1960-04-01,Manufacturing Total,Manufacturing,39.3
1960-05-01,Mining,Mining,499
1960-05-01,Manufacturing Total,Manufacturing,39.3
1960-06-01,Mining,Mining,495
1960-06-01,Manufacturing Total,Manufacturing,39.3
1960-07-01,Mining,Mining,494.8
1960-07-01,Manufacturing Total,Manufacturing,39.3
1960-08-01,Mining,Mining,496.7
1960-08-01,Manufacturing Total,Manufacturing,39.3
1960-09-01,Mining,Mining,499
1960-09-01,Manufacturing Total,Manufacturing,39.6
1960-10-01,Mining,Mining,499.6
1960-10-01,Manufacturing Total,Manufacturing,39.8
1960-11-01,Mining,Mining,496.2
1960-11-01,Manufacturing Total,Manufacturing,39.8
1960-12-01,Mining,Mining,488
1960-12-01,Manufacturing Total,Manufacturing,39.7
1961-01-01,Mining,Mining,478.8
1961-01-01,Manufacturing Total,Manufacturing,39.4
1961-02-01,Mining,Mining,473.9
1961-02-01,Manufacturing Total,Manufacturing,39.3
1961-03-01,Mining,Mining,476.4
1961-03-01,Manufacturing Total,Manufacturing,39.5
1961-04-01,Mining,Mining,483.5
1961-04-01,Manufacturing Total,Manufacturing,39.8
1961-05-01,Mining,Mining,490.5
1961-05-01,Manufacturing Total,Manufacturing,40
1961-06-01,Mining,Mining,493.9
1961-06-01,Manufacturing Total,Manufacturing,40
1961-07-01,Mining,Mining,494.3
1961-07-01,Manufacturing Total,Manufacturing,39.8
1961-08-01,Mining,Mining,493.9
1961-08-01,Manufacturing Total,Manufacturing,39.6
1961-09-01,Mining,Mining,494.1
1961-09-01,Manufacturing Total,Manufacturing,39.3
1961-10-01,Mining,Mining,494.9
