Short_Sector,Group,Observations,Mean,SD,Min,Max,Median
Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,923,0.7297046452959512,2.8289869750409515,-13.685324820629551,15.11183058722516,0.8494399459117563
Manufacturing Total 3mo3my Growth,Manufacturing 3mo3my Growth,911,3.803552063452351,7.840617150349748,-19.058986351364048,36.427274707719135,4.149819110449027
Manufacturing Total Growth,Manufacturing Growth,927,0.24114453055833254,1.5649922435878652,-12.8765334749255,12.714430579420299,0.27331033601634136
Mining,Mining,928,83.40278631465517,16.38057438066481,37.3007,123.0976,84.3726
Mining 3mo3m Growth,Mining 3mo3m Growth,923,0.3334805897241452,2.848660515852223,-20.559636421286264,15.494392220471287,0.3947657295295448
Mining 3mo3my Growth,Mining 3mo3my Growth,911,1.671806047853501,7.051099953059937,-24.050126088344804,34.28090005735223,1.43950586181405
Mining Growth,Mining Growth,927,0.11968184075352543,2.346991873453686,-13.15822538897663,25.59844721412736,0.1155692316418433
Natural Gas,Utilities,640,95.83157250000001,10.17026452421997,69.5348,134.6149,95.9738
Natural Gas 3mo3m Growth,Utilities 3mo3m Growth,635,0.11138478666070041,4.5448641530297405,-13.218103354412547,16.752842981667282,0.22340857963685234
Natural Gas 3mo3my Growth,Utilities 3mo3my Growth,623,0.19269334773019858,6.723889464435658,-20.92351996497711,24.31073571444502,-0.1418943772949044
Natural Gas Growth,Utilities Growth,639,0.1654279313671894,5.785426513886293,-27.945049173605597,30.579199650489386,0.05933716404000755
Nondurable Manufacturing,Manufacturing,856,82.6534941588785,26.70675201414245,22.9439,116.0534,96.07964999999999
Nondurable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,851,0.529955180967645,1.9921817941574886,-9.980631824922504,6.778543020661543,0.5233910358157123
Nondurable Manufacturing 3mo3my Growth,Manufacturing 3mo3my Growth,839,2.6744189969249916,6.224985903381303,-18.9914583677816,22.794523751474017,1.9552930784849876
Nondurable Manufacturing Growth,Manufacturing Growth,855,0.1774025582049387,1.1829801729469542,-8.665006078328297,6.316050987062116,0.16932310997332944
Total Index,Total,928,60.799318211206895,30.3860657868647,13.1716,104.149,55.4071
Total Index 3mo3m Growth,Total 3mo3m Growth,923,0.6678501518560764,2.060091406699304,-12.72341699515993,9.322074273964098,0.7342961188668395
Total Index 3mo3my Growth,Total 3mo3my Growth,911,3.4972322218580807,6.329804345341129,-16.362533102666642,27.907206683887264,3.5371712248976728
Total Index Growth,Total Growth,927,0.21976908697260616,1.0741382594713809,-13.241808905190243,6.584870737163229,0.2455355361479894
