Date,Short_Sector,Group,Value
1948-08-01,Total Index Growth,Total Growth,-0.36723549488054674
1948-08-01,Total Index 3mo3m Growth,Total 3mo3m Growth,2.3822851651785992
1948-08-01,Final Products,Products,15.4669
1948-08-01,Final Products Growth,Products Growth,-0.18456971378786324
1948-08-01,Final Products 3mo3m Growth,Products 3mo3m Growth,1.1256622664496119
1948-08-01,Consumer Goods,Consumer Goods,20.827
1948-08-01,Consumer Goods Growth,Consumer Goods Growth,-0.9210013034832487
1948-08-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,1.2460427439979327
1948-08-01,Durable Consumer Goods,Consumer Goods,13.7523
1948-08-01,Durable Consumer Goods Growth,Consumer Goods Growth,-1.6013050851095834
1948-08-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,3.743217581733971
1948-08-01,Automotive Products,Consumer Goods,13.5654
1948-08-01,Automotive Products Growth,Consumer Goods Growth,-3.286659442194717
1948-08-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,6.123696643010246
1948-08-01,Manufacturing Total,Manufacturing,13.2732
1948-08-01,Manufacturing Total Growth,Manufacturing Growth,-1.2704552216602272
1948-08-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,3.400609095132401
1948-08-01,Durable Manufacturing,Manufacturing,7.599
1948-08-01,Durable Manufacturing Growth,Manufacturing Growth,-0.5704864836573842
1948-08-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,2.603774599419295
1948-08-01,Mining,Mining,52.8942
1948-08-01,Mining Growth,Mining Growth,-0.259090806236284
1948-08-01,Mining 3mo3m Growth,Mining 3mo3m Growth,8.689563689324387
1948-08-01,Electric and Gas Utilities,Utilities,7.4699
1948-08-01,Electric and Gas Utilities Growth,Utilities Growth,0.6860762906051976
1948-08-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,2.10262540806474
1948-09-01,Total Index,Total,14.4887
1948-09-01,Total Index Growth,Total Growth,-0.7364930598374952
1948-09-01,Total Index 3mo3m Growth,Total 3mo3m Growth,0.9304966110260882
1948-09-01,Final Products,Products,15.3521
1948-09-01,Final Products Growth,Products Growth,-0.742230181872261
1948-09-01,Final Products 3mo3m Growth,Products 3mo3m Growth,0.6861033633413172
1948-09-01,Consumer Goods,Consumer Goods,20.7109
1948-09-01,Consumer Goods Growth,Consumer Goods Growth,-0.5574494646372607
1948-09-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,0
1948-09-01,Durable Consumer Goods,Consumer Goods,13.3544
1948-09-01,Durable Consumer Goods Growth,Consumer Goods Growth,-2.893334205914644
1948-09-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,2.609008396980883
1948-09-01,Automotive Products,Consumer Goods,12.6917
1948-09-01,Automotive Products Growth,Consumer Goods Growth,-6.440650478423038
1948-09-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,5.1964296906010565
1948-09-01,Manufacturing Total,Manufacturing,13.2976
1948-09-01,Manufacturing Total Growth,Manufacturing Growth,0.18382906910163754
1948-09-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,1.7370256994376332
1948-09-01,Durable Manufacturing,Manufacturing,7.6135
1948-09-01,Durable Manufacturing Growth,Manufacturing Growth,0.19081458086589453
1948-09-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.6148035515007653
1948-09-01,Mining,Mining,51.7951
1948-09-01,Mining Growth,Mining Growth,-2.0779215868658607
1948-09-01,Mining 3mo3m Growth,Mining 3mo3m Growth,2.913494954187712
1948-09-01,Electric and Gas Utilities,Utilities,7.5715
1948-09-01,Electric and Gas Utilities Growth,Utilities Growth,1.3601253028822313
1948-09-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,3.0303030303030276
1948-10-01,Total Index,Total,14.5963
1948-10-01,Total Index Growth,Total Growth,0.7426477185668912
1948-10-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-0.18417889574925406
1948-10-01,Final Products,Products,15.4955
1948-10-01,Final Products Growth,Products Growth,0.9340741657493101
1948-10-01,Final Products 3mo3m Growth,Products 3mo3m Growth,0.24848646203330382
1948-10-01,Consumer Goods,Consumer Goods,20.9432
1948-10-01,Consumer Goods Growth,Consumer Goods Growth,1.121631604614004
1948-10-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.4932251221516637
1948-10-01,Durable Consumer Goods,Consumer Goods,13.7771
1948-10-01,Durable Consumer Goods Growth,Consumer Goods Growth,3.1652489067273804
1948-10-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,0.48912616013843113
1948-10-01,Automotive Products,Consumer Goods,13.808
